date, pm25, pm10, o3, no2, so2, co
2021/12/30, 64, 16, , 20, , 3
2021/12/31, 43, 12, , 18, , 4
2022/1/1, 32, 20, , 11, , 8
2022/1/2, 56, 13, , 16, , 2
2022/1/3, 35, 16, , 21, , 2
2021/7/2, 44, 20, , 21, 1, 2
2021/7/3, 83, 39, , 37, , 8
2021/7/4, 102, 50, , 25, 1, 12
2021/7/5, 48, 19, , 8, , 1
2021/7/6, 53, 24, , 21, , 2
2021/7/7, 56, 22, , 21, , 3
2021/7/8, 44, 30, , 29, , 3
2021/7/9, 65, 31, , 24, 1, 2
2021/7/10, 72, 42, , 32, , 5
2021/7/11, 89, 57, , 27, 1, 15
2021/7/12, 118, 51, , 40, 1, 4
2021/7/13, 106, 57, , 45, 1, 8
2021/7/14, 122, 74, , 50, 2, 9
2021/7/15, 140, 65, , 45, 1, 9
2021/7/16, 114, 43, , 27, 1, 5
2021/7/17, 78, 25, , 25, , 6
2021/7/18, 51, 26, , 17, , 4
2021/7/19, 61, 22, , 25, , 3
2021/7/20, 52, 39, , 22, 1, 5
2021/7/21, 78, 46, , 37, 1, 8
2021/7/22, 88, 49, , 31, 1, 3
2021/7/23, 91, 48, , 38, 1, 5
2021/7/24, 92, 63, , 40, 1, 8
2021/7/25, 126, 59, , 32, 1, 10
2021/7/26, 115, 67, , 48, 2, 7
2021/7/27, 132, 53, , 36, 1, 4
2021/7/28, 87, 15, , 17, , 3
2021/7/29, 36, 28, , 23, , 2
2021/7/30, 60, 24, , 17, , 1
2021/7/31, 49, 21, , 13, 1, 1
2021/8/1, 42, 25, , 11, 1, 1
2021/8/2, 52, 37, , 25, , 2
2021/8/3, 71, 17, , 15, , 1
2021/8/4, 39, 20, , 14, , 1
2021/8/5, 37, 27, , 20, 1, 2
2021/8/6, 52, 32, , 21, , 2
2021/8/7, 62, 31, , 20, , 2
2021/8/8, 62, 34, , 19, , 2
2021/8/9, 72, 51, , 42, , 8
2021/8/10, 105, 68, , 49, , 7
2021/8/11, 130, 36, , 17, , 8
2021/8/12, 73, 7, , 11, , 1
2021/8/13, 16, 10, , 16, , 2
2021/8/14, 29, 17, , 14, , 1
2021/8/15, 44, 29, , 15, , 2
2021/8/16, 64, 36, , 27, , 4
2021/8/17, 79, 48, , 45, , 7
2021/8/18, 90, 68, , 51, , 9
2021/8/19, 133, 66, , 51, , 8
2021/8/20, 131, 72, , 52, , 8
2021/8/21, 127, 69, , 39, , 7
2021/8/22, 126, 56, , 34, , 7
2021/8/23, 113, 83, , 52, , 9
2021/8/24, 150, 82, , 61, 3, 6
2021/8/25, 147, 78, , 64, 5, 6
2021/8/26, 152, 54, , 38, 1, 4
2021/8/27, 119, 13, , 12, 3, 1
2021/8/28, 36, 10, , 17, 1, 3
2021/8/29, 32, 7, , 5, 5, 1
2021/8/30, 22, 9, , 11, 14, 1
2021/8/31, 27, 13, , 12, 7, 2
2021/9/1, 30, 20, , 20, 13, 3
2021/9/2, 39, 26, , 26, , 5
2021/9/3, 60, , , 37, , 
2021/9/17, 6, 16, , , , 2
2021/9/19, 66, 38, , 20, , 5
2021/9/20, 85, 47, , 40, , 8
2021/9/21, 102, 49, , 35, , 8
2021/9/22, 123, 15, , 9, , 1
2021/9/23, 50, 19, , 11, , 1
2021/9/24, 45, 34, , 21, , 3
2021/9/25, 65, 28, , 16, , 3
2021/9/26, 63, 37, , 17, , 4
2021/9/27, 78, 48, , 35, , 7
2021/9/28, 106, 45, , 38, , 6
2021/9/29, 97, 40, , 20, , 4
2021/9/30, 88, 21, , 11, , 2
2021/10/1, 54, 25, , 26, , 6
2021/4/6, 31, 14, , 11, , 2
2021/4/7, 52, 20, , 23, 1, 4
2021/4/8, 32, 11, , 11, , 2
2021/4/9, 32, 15, , 15, 3, 4
2021/4/10, 56, 23, , 27, 1, 6
2021/4/11, 60, 27, , , 1, 5
2021/4/12, 72, 34, , 23, , 6
2021/4/13, 69, 32, , 22, , 4
2021/4/14, 31, 13, , 10, , 1
2021/4/15, 34, 19, , 13, , 2
2021/4/16, 40, 22, , 15, 1, 3
2021/4/17, 66, 32, , 29, 1, 5
2021/4/18, 62, 32, , 23, , 4
2021/4/19, 36, 10, , 10, , 2
2021/4/20, 21, 7, , 9, , 2
2021/4/21, 22, 9, , 11, , 2
2021/4/22, 28, 9, , 8, , 1
2021/4/23, 29, 14, , 11, , 2
2021/4/24, 32, 14, , 15, , 2
2021/4/25, 37, 14, , 16, , 3
2021/4/26, 57, 21, , 15, , 4
2021/4/27, 59, 27, , 20, , 4
2021/4/28, 37, 14, , 12, , 2
