date, pm25, pm10, o3, no2, so2, co
2021/11/27, 47, , 25, 11, , 1
2021/11/28, 38, , 37, 4, , 1
2021/11/29, 62, , 47, 7, , 2
2021/11/30, 53, , 48, 12, , 2
2021/12/1, 42, , 25, 10, , 2
2021/12/2, 68, , 34, 9, , 2
2021/12/3, 75, , 34, 7, , 1
2021/12/4, 38, , 18, 5, , 1
2021/12/5, 49, , 34, 5, , 1
2021/12/6, 68, , 41, 5, , 1
2021/12/7, 55, , 30, 7, , 1
2021/12/8, 45, , 15, 5, , 1
2021/12/9, 35, , 20, 5, , 1
2021/12/10, 37, , 22, 5, , 1
2021/12/11, 42, , 34, 9, , 1
2021/12/12, 64, , 45, 11, , 2
2021/12/13, 71, , 48, 10, , 2
2021/12/14, 58, , 23, 12, , 4
2021/12/15, 65, , 24, 11, , 2
2021/12/16, 65, , 13, 9, , 2
2021/12/17, 77, , 26, 9, , 2
2021/12/18, 110, , 15, 6, , 1
2021/7/2, 71, , 23, 18, , 3
2021/7/22, 107, , 32, 18, , 3
2021/7/23, 104, , 37, 18, , 4
2021/7/24, 75, , 42, 24, , 6
2021/7/25, 99, , 37, 20, , 6
2021/7/26, 99, , 36, 24, , 7
2021/7/27, 76, , 35, 18, , 4
2021/7/28, 99, , 20, 9, , 1
2021/7/29, 47, , 19, 9, , 1
2021/7/30, 39, , 24, 9, , 1
2021/7/31, 42, , 25, 7, , 1
2021/8/1, 37, , 28, 7, , 1
2021/8/2, 65, , 30, 15, , 2
2021/8/3, 86, , 23, 7, , 1
2021/8/4, 38, , 27, 8, , 1
2021/8/5, 40, , 24, 9, , 1
2021/8/6, 59, , 24, 11, , 1
2021/8/7, 77, , 26, 11, , 2
2021/8/8, 107, , 36, 12, , 3
2021/8/9, 102, , 32, 18, , 3
2021/8/10, 81, , 39, 27, , 5
2021/8/11, 96, , 25, 14, , 4
2021/8/12, 70, , 20, 6, , 1
2021/8/13, 19, , 16, 10, , 1
2021/8/14, 31, , 22, 8, , 1
2021/8/15, 67, , 39, 9, , 1
2021/8/16, 83, , 21, 14, , 2
2021/8/17, 78, , 46, 25, , 6
2021/8/18, 75, , 64, 28, , 6
2021/8/19, 100, , 52, 25, , 5
2021/8/20, 86, , 52, 24, , 5
2021/8/21, 95, , 70, 25, , 8
2021/8/22, 105, , 42, 14, , 4
