date, pm25, pm10, o3, no2, so2, co
2022/1/12, 46, 17, , 22, , 7
2022/1/13, 47, 16, , 21, , 
2022/1/14, 47, 24, , 10, 1, 
2022/1/15, 64, 28, , , , 
2022/1/16, 71, 13, , , , 
2022/1/17, 38, 17, , , , 
2022/1/18, 47, 22, , , , 
2022/1/19, 55, 16, , , , 
2022/1/20, 41, 24, , , , 
2022/1/21, 64, 27, , , , 
2022/1/22, 70, 22, , , 1, 
2022/1/23, 56, 23, , , , 
2022/1/24, 61, 27, , , , 
2022/1/25, 68, 30, , , , 
2022/1/26, 72, 22, , 27, , 9
2022/1/27, 52, 16, , 24, , 6
2022/2/4, 59, 16, , 19, , 10
2022/2/5, 45, 15, , 16, , 9
2022/2/6, 35, 12, , 13, , 9
2022/2/7, 32, 16, , 27, , 11
2022/2/8, 44, 21, , 23, , 9
2022/2/9, 53, 22, , 27, 1, 10
2022/2/10, 53, 24, , 27, 1, 11
2022/2/11, 54, 23, , 23, , 11
2022/2/12, 44, 20, , 23, , 11
2022/2/13, 47, 18, , 20, , 11
2022/2/14, 44, 27, , 33, , 13
2022/2/15, 66, 28, , 30, , 11
2022/2/16, 58, 31, , 30, , 7
2022/2/17, 58, 22, , 23, , 5
2022/2/18, 49, 22, , 32, , 8
2022/2/19, 55, 22, , 27, , 7
2022/2/20, 53, 16, , 16, , 5
2022/2/21, 44, 23, , 36, , 9
2022/2/22, 54, 27, , 36, , 8
2022/2/23, 66, 31, , 34, , 10
2022/2/24, 74, 30, , 37, 1, 9
2022/2/25, 65, 27, , 28, , 9
2022/2/26, 62, 25, , 27, 1, 8
2022/2/27, 61, 26, , 22, , 8
2022/2/28, 66, 26, , 21, , 9
2022/3/1, 57, 23, , 22, , 9
2022/3/2, 49, 24, , 31, , 11
2022/3/3, 59, 29, , 35, , 11
2022/3/4, 67, 28, , 32, , 10
2022/3/5, 62, , , , , 
2022/3/8, 68, 30, , 51, , 11
2022/3/9, 69, 31, , 37, , 11
2022/3/10, 72, 23, , 26, , 5
2022/3/11, 52, 17, , 30, , 6
2022/3/12, 44, 14, , 24, , 6
2022/3/13, 40, 13, , 13, , 5
2022/3/14, 24, 17, , 24, , 7
2022/3/15, 47, 17, , 25, , 9
2022/3/16, 43, 16, , 22, , 7
2022/3/17, 44, 19, , 27, , 8
2022/3/18, 68, 22, , 33, , 9
2022/3/19, 54, 20, , 26, , 9
2022/3/20, 51, 12, , 19, , 7
2022/3/21, 29, 11, , 15, , 7
2022/3/22, 19, 31, , 17, , 5
2022/3/23, 66, 24, , 25, , 6
2022/3/24, 43, 29, , 26, , 7
2022/3/25, 63, 31, , 33, , 9
2022/3/26, 63, 22, , 27, , 8
2022/3/27, 56, 15, , 25, , 8
2022/3/28, 47, 16, , 35, 1, 9
2022/3/29, 51, 20, , 37, , 8
2022/3/30, 57, 23, , 26, , 7
2022/3/31, 53, 11, , 28, , 9
2022/4/1, 35, 13, , 30, , 10
2021/10/2, 52, 27, , 32, , 
2021/10/3, 63, 24, , 23, , 
2021/10/4, 61, 19, , 33, , 
2021/10/5, 49, 14, , 31, , 
2021/10/6, 41, 21, , 26, , 
2021/10/7, 73, 17, , 30, , 
2021/10/8, 49, 18, , 29, , 
2021/10/9, 48, 13, , 22, , 
2021/10/10, 33, 11, , 19, , 
2021/10/11, 33, 10, , 17, , 
2021/10/12, 26, 13, , 21, , 
2021/10/13, 38, 22, , 29, , 
2021/10/14, 54, 25, , 25, , 
2021/10/15, 54, 22, , 33, , 
2021/10/16, 51, 12, , 24, , 
2021/10/17, 30, 8, , 22, , 
2021/10/18, 26, 12, , 31, 1, 
2021/10/19, 37, 11, , 30, , 
2021/10/20, 33, 15, , 32, , 
2021/10/21, 41, 16, , 30, , 
2021/10/22, 46, 21, , 33, , 
2021/10/23, 52, 27, , 23, , 
2021/10/24, 59, 13, , 20, , 
2021/10/25, 36, 24, , 28, , 
2021/10/26, 53, 20, , 28, , 
2021/10/27, 53, 26, , 32, , 
2021/10/28, 67, 17, , 23, , 
2021/10/29, 45, 22, , 25, 1, 
2021/10/30, 57, 17, , 21, , 
2021/10/31, 45, 15, , 15, , 
2021/11/1, 45, 11, , 22, , 
2021/11/2, 30, 9, , 19, , 
2021/11/3, 26, 16, , 22, , 
2021/11/4, 41, 24, , 29, , 
2021/11/5, 55, 35, , 31, 1, 
2021/11/6, 75, 25, , 29, 1, 
2021/11/7, 58, 20, , 20, , 
2021/11/8, 48, 20, , 24, 1, 
2021/11/9, 42, 21, , 24, 1, 
2021/11/10, 50, 21, , 24, , 
2021/11/11, 43, 18, , 26, , 
2021/11/12, 49, 15, , 24, , 
2021/11/13, 41, 15, , 20, , 
2021/11/14, 33, 19, , 16, , 
2021/11/15, 37, 23, , 24, 1, 
2021/11/16, 56, 28, , 34, 1, 
2021/11/17, 57, 35, , 39, 1, 
2021/11/18, 67, 25, , 25, , 
2021/11/19, 56, 12, , 26, , 
2021/11/20, 37, 13, , 23, , 
2021/11/21, 34, 20, , 19, , 
2021/11/22, 47, 22, , 32, , 
2021/11/23, 52, 43, , 49, 1, 
2021/11/24, 79, 33, , 32, , 
2021/11/25, 62, 40, , 38, , 
2021/11/26, 79, 24, , 23, , 
2021/11/27, 51, 16, , 23, , 
2021/11/28, 40, 22, , 26, , 
2021/11/29, 57, 25, , 27, , 
2021/11/30, 53, 16, , 24, , 
2021/12/1, 37, 24, , 30, , 
2021/12/2, 64, 23, , 27, , 
2021/12/3, 56, 17, , 24, , 
2021/12/4, 47, 18, , 24, , 
2021/12/5, 45, 21, , 23, , 
2021/12/6, 55, 20, , 27, , 
2021/12/7, 49, 15, , 23, , 
2021/12/8, 39, 16, , 25, , 
2021/12/9, 39, 20, , 25, , 
2021/12/10, 38, 17, , 26, , 
2021/12/11, 44, 23, , 29, , 
2021/12/12, 51, 24, , 21, , 
2021/12/13, 55, 18, , 25, , 
2021/12/14, 44, 20, , 23, , 
2021/12/15, 51, 15, , 19, , 
2021/12/16, 40, 14, , 28, , 
2021/12/17, 44, 38, , 24, , 
2021/12/18, 81, 12, , 16, , 
2021/12/19, 35, 11, , 17, , 
2021/12/20, 29, 18, , 24, , 
2021/12/21, 41, 29, , 32, , 
2021/12/22, 62, 34, , 36, , 
2021/12/23, 77, 17, , 23, , 
2021/12/24, 44, 13, , 17, , 
2021/12/25, 28, 15, , 13, , 
2021/12/26, 37, 15, , 16, , 
2021/12/27, 37, 18, , 26, , 
2021/12/28, 51, 17, , 28, , 
2021/12/29, 49, 24, , 29, , 
2021/12/30, 63, 13, , 17, , 
2021/12/31, 41, 9, , 14, , 
2022/1/1, 29, 18, , 11, , 
2022/1/2, 49, 11, , 15, , 
2022/1/3, 32, 12, , 16, , 
2021/7/2, 44, 30, , 31, 1, 9
2021/7/3, 63, 43, , 39, 1, 11
2021/7/4, 90, 22, , 20, , 4
2021/7/5, 50, 24, , 30, 1, 6
2021/7/6, 56, 25, , 28, , 5
2021/7/7, 53, 24, , 32, , 6
2021/7/8, 52, 29, , 31, 1, 6
2021/7/9, 61, 32, , 26, 1, 5
2021/7/10, 68, 40, , 33, 1, 8
2021/7/11, 80, 47, , 33, 1, 10
2021/7/12, 100, 44, , 39, 1, 8
2021/7/13, 98, 38, , 36, 1, 8
2021/7/14, 74, 60, , 53, 2, 16
2021/7/15, 111, 56, , 50, 2, 18
2021/7/16, 99, 41, , 39, 1, 10
2021/7/17, 78, 25, , 28, , 7
2021/7/18, 49, 18, , 18, , 6
2021/7/19, 47, 16, , 27, , 6
2021/7/20, 37, 41, , 35, 2, 8
2021/7/21, 66, 2, , 36, 2, 8
2021/7/22, 75, 47, , 36, 1, 8
2021/7/23, 81, 43, , 34, 1, 7
2021/7/24, 87, 44, , 34, 1, 9
2021/7/25, 96, 43, , 34, 1, 14
2021/7/26, 94, 51, , 46, 1, 16
2021/7/27, 102, 52, , 40, 1, 9
2021/7/28, 92, 12, , 25, , 7
2021/7/29, 38, 19, , 28, , 6
2021/7/30, 44, 4, , 30, , 5
2021/7/31, 46, 23, , 22, , 4
2021/8/1, 41, 21, , 18, , 4
2021/8/2, 49, 29, , 34, , 7
2021/8/3, 69, 21, , 32, , 6
2021/8/4, 48, 23, , 31, 1, 5
2021/8/5, 47, 21, , 25, 1, 5
2021/8/6, 50, 27, , 26, 1, 5
2021/8/7, 75, 26, , 23, 1, 4
2021/8/8, 63, 28, , 22, 1, 6
2021/8/9, 67, 29, , 31, 1, 6
2021/8/10, 62, 49, , 54, 2, 15
2021/8/11, 105, 31, , 37, 1, 11
