date, pm25, pm10, o3, no2, so2, co
2021/12/31, 26, 17, 15, 16, , 
2022/1/1, 45, 23, 24, 10, , 
2022/1/2, 59, 23, 25, 11, , 
2022/1/3, 54, 22, 24, 11, , 
2021/7/13, 80, 40, , 19, 1, 
2021/7/14, 84, 52, , 20, , 
2021/7/15, 103, 61, 26, 26, , 
2021/7/16, 83, 25, 15, 27, 1, 
2021/7/17, 44, 13, 11, 13, , 
2021/7/18, 31, 22, 18, 13, , 
2021/7/19, 52, 14, 18, 8, , 
2021/7/20, 32, 28, 15, 10, 1, 
2021/7/21, 48, 30, 15, 19, 2, 
2021/7/22, 56, 30, 21, 18, 1, 
2021/7/23, 57, 33, 21, 18, 1, 
2021/7/24, 69, 36, 22, 20, , 
2021/7/25, 77, 36, 20, 17, 1, 
2021/7/26, 80, 60, 16, 20, 1, 
2021/7/27, 92, 40, 28, 29, 1, 
2021/7/28, 61, 13, 17, 11, 1, 
2021/7/29, 22, 16, 18, 9, 1, 
2021/7/30, 35, 26, 19, 6, 1, 
2021/7/31, 40, 20, 16, 17, 3, 
2021/8/1, 42, 27, 18, 13, 1, 
2021/8/2, 54, 21, 17, 15, 1, 
2021/8/3, 46, 16, 16, 11, , 
2021/8/4, 35, 11, 16, 7, , 
2021/8/5, 25, 22, 16, 4, , 
2021/8/6, 40, 20, 15, 13, , 
2021/8/7, 44, 29, 15, 14, , 
2021/8/8, 57, 24, 19, 16, 1, 
2021/8/9, 58, 31, 1, 11, 2, 
2021/8/10, 60, 51, , 18, , 
2021/8/11, 80, 10, 16, 29, 1, 
2021/8/12, 23, 3, 17, 3, , 
2021/8/13, 15, 7, , 8, , 
2021/8/14, 17, 12, , 5, , 
2021/8/15, 24, 15, 17, 13, , 
2021/8/16, 36, 20, 8, 9, , 
2021/8/17, 46, 20, 19, 16, , 
2021/8/18, 47, 31, 23, 11, , 
2021/8/19, 74, 23, 23, 19, , 
2021/8/20, 56, 36, 16, 9, , 
2021/8/21, 69, 34, 23, 22, , 
2021/8/22, 64, 37, 22, 9, , 
2021/8/23, 79, 56, 23, 18, , 
2021/8/24, 88, 41, 22, 27, 2, 
2021/8/25, 76, 49, 14, 9, , 
2021/8/26, 88, 49, 28, 21, , 
2021/8/27, 90, 9, 17, 14, , 
2021/8/28, 20, 10, 14, 5, , 
2021/8/29, 24, 9, 18, 12, , 
2021/8/30, 22, 14, 17, 8, , 
2021/8/31, 21, 19, 16, 5, , 
2021/9/1, 27, 21, 15, 4, , 
2021/9/2, 31, 29, 16, 7, , 
2021/9/3, 43, 44, 12, 13, , 
2021/9/4, 62, 22, 21, 22, 1, 
2021/9/5, 39, 17, 17, 5, , 
2021/9/6, 39, 20, 16, 13, , 
2021/9/7, 39, 18, 18, 10, , 
2021/9/8, 31, 25, 18, 6, , 
2021/9/12, 60, 25, 16, 16, , 
2021/9/13, 54, 27, 17, 11, , 
2021/9/14, 59, 37, 17, 14, , 
2021/9/15, 66, 21, 18, 14, , 
2021/9/16, 45, 14, 16, 13, , 
2021/9/17, 22, 16, 16, 6, , 
